Number of connected components: 21
Size of each component:
Component 1: 28045 nodes
Component 2: 2 nodes
Component 3: 3 nodes
Component 4: 5 nodes
Component 5: 2 nodes
Component 6: 2 nodes
Component 7: 2 nodes
Component 8: 2 nodes
Component 9: 2 nodes
Component 10: 3 nodes
Component 11: 2 nodes
Component 12: 2 nodes
Component 13: 2 nodes
Component 14: 2 nodes
Component 15: 2 nodes
Component 16: 4 nodes
Component 17: 2 nodes
Component 18: 3 nodes
Component 19: 2 nodes
Component 20: 2 nodes
Component 21: 2 nodes
