Number of connected components: 25
Size of each component:
Component 1: 849 nodes
Component 2: 2 nodes
Component 3: 3 nodes
Component 4: 2 nodes
Component 5: 2 nodes
Component 6: 4 nodes
Component 7: 2 nodes
Component 8: 2 nodes
Component 9: 3 nodes
Component 10: 5 nodes
Component 11: 2 nodes
Component 12: 2 nodes
Component 13: 2 nodes
Component 14: 2 nodes
Component 15: 2 nodes
Component 16: 4 nodes
Component 17: 2 nodes
Component 18: 2 nodes
Component 19: 2 nodes
Component 20: 2 nodes
Component 21: 2 nodes
Component 22: 2 nodes
Component 23: 2 nodes
Component 24: 2 nodes
Component 25: 2 nodes
