Number of connected components: 22
Size of each component:
Component 1: 1707 nodes
Component 2: 3 nodes
Component 3: 4 nodes
Component 4: 3 nodes
Component 5: 3 nodes
Component 6: 3 nodes
Component 7: 3 nodes
Component 8: 3 nodes
Component 9: 3 nodes
Component 10: 3 nodes
Component 11: 3 nodes
Component 12: 3 nodes
Component 13: 4 nodes
Component 14: 4 nodes
Component 15: 3 nodes
Component 16: 3 nodes
Component 17: 3 nodes
Component 18: 3 nodes
Component 19: 3 nodes
Component 20: 3 nodes
Component 21: 3 nodes
Component 22: 3 nodes
